SpotifyTrack,SpotifyArtist,uri,year,genre,release_date,popular,key,explicit,mode,chartrank,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,time_signature
"Stop, Look, Listen (To Your Heart)",Boney James,spotify:track:24Wg5AQK6AaNyZBTpL1unQ,2009,Jazz,1/1/2009,1,11,0,0,6,0.389,0.575,0.494,296320,0.562,0.395,84.909,0.0741,-12.006,0.0346,4
Sweet Sundays,Tim Bowman,spotify:track:12v9qTFs7z2iczDpRrZutU,2009,Jazz,9/30/2008,1,1,0,0,7,0.564,0.678,0.831,225800,0.875,0.66,109.983,0.0776,-5.931,0.029,4
La Dolce Vita,Warren Hill,spotify:track:1l9IRtd8omIqlGxYYzmyLv,2009,Jazz,6/24/2008,1,2,0,1,8,0.368,0.66,0.674,325093,0.00889,0.249,94.988,0.0747,-6.593,0.0358,4
You and I,Michael Lington,spotify:track:4S5hFxXQ5tDWP3gXaPRUyb,2009,Jazz,9/9/2008,1,7,0,1,9,0.127,0.63,0.821,235333,0.233,0.694,100.061,0.1,-4.479,0.0327,4
LetÃ¢â‚¬â„¢s Get On It,Kim Waters,spotify:track:7AImpXkkky3MuBRiZ2bMQh,2009,Jazz,10/27/2008,1,5,0,1,10,0.469,0.81,0.74,283000,0.884,0.712,104.949,0.0937,-5.889,0.0409,4
Fortune Teller,Fourplay,spotify:track:2YAhTUN1TDdgyajlKaEC45,2009,Jazz,1/1/2009,1,4,0,0,11,0.362,0.781,0.406,353120,0.868,0.667,99.999,0.0979,-12.874,0.0348,4
Go For It - feat. Mike Stern,Bernie Williams,spotify:track:2aURVEvvk7Bp2NL9xhhQvA,2009,Jazz,4/14/2009,1,4,0,0,12,0.111,0.573,0.725,415000,0.824,0.758,169.96,0.102,-7.616,0.0354,4
Bada Bing,Dave Koz,spotify:track:7hzsW2lCGkiCMMmjYqBvqi,2009,Jazz,1/1/2008,1,7,0,0,13,0.374,0.795,0.656,287467,0.818,0.806,111.014,0.184,-5.645,0.0324,4
Talk of the Town,Darren Rahn,spotify:track:2QiJz4caFi6iBJPM2R77aQ,2009,Jazz,2/3/2009,1,7,0,1,14,0.00353,0.707,0.759,250787,0.851,0.548,101.988,0.337,-6.143,0.0446,4
Who Will Comfort Me,Melody Gardot,spotify:track:5cFtJ9sQQDf0fbj9e8bs7O,2009,Jazz,1/1/2009,1,5,0,1,15,0.665,0.78,0.427,296320,0.00197,0.358,138.058,0.0975,-9.825,0.0491,4
